"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","info_comprehension_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected","rt_valid","key_press","foil"
"pavlovia","0","1137","0.0-0.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","","","","","","","","","","",""
"preload","1","3979","0.0-1.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","true","false","[]","[]","[]","","","","","","","","","","",""
"html-keyboard-response","2","36064","0.0-2.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","32083","Welcome! Please press any key to begin.","enter","","","","","","","",""
"html-keyboard-response","3","175327","0.0-3.0-0.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","139260","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You belong to a community, known as the Tany, who traditionally speak the Taneg language.</p> 
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
    <p style=""font-size:22px;"">You did not grow up speaking it, but your grandparents did, and your parents spoke some, and you have decided to become a speaker!</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","enter","","","","","","","",""
"html-keyboard-response","4","198636","0.0-3.0-1.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","22294","
    <p style=""font-size:22px;"">You think this is an important moment.</p> 
    <p style=""font-size:22px;"">A related language, Drogek, is now barely spoken at all! Now almost everyone in the Drogy community speaks only English, with only a few enthusiasts keeping Drogek alive.</p> 
    <p style=""font-size:22px;"">You, like many Tany people, want to avoid this future for Taneg. Recording it for future generations is not enough; you think the only way to keep it alive is for people like you to learn and use the language.</p>
    <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","enter","","","","","","","",""
"html-keyboard-response","5","204997","0.0-3.0-2.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","5351","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","enter","","","","","","","",""
"html-keyboard-response","6","207782","0.0-3.0-3.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","1778","
    <p style=""font-size:22px;"">Be part of a bright future for Taneg! You don’t want its future to be like Drogek’s…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","enter","","","","","","","",""
"html-keyboard-response","7","216110","0.0-3.0-4.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","7312","
    <p style=""font-size:22px;"">While you're learning Taneg, please remain focused on this app, and please do not switch to other tabs!</p>
    <p style=""font-size:22px;"">But please do <strong>not</strong> make notes! We want to see how well you do just by engaging with the app!</p>
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","enter","","","","","","","",""
"html-button-response","8","224517","0.0-3.0-5.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","7395","
  <p style=""font-size:22px;"">Let's see if you were paying attention!</p>
  <p style=""font-size:20px;"">Which of the following are you allowed to do while learning Taneg?</p>
","3","comprehension_check","Engage with the app without making notes","Engage with the app without making notes","true","","","",""
"html-keyboard-response","9","227403","0.0-4.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","2885","
    <p style=""font-size:20px;"">Good! You should not take notes, switch tabs, or use a dictionary!</p> 
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>

    ","enter","","","","","","","",""
"html-button-response","10","248974","0.0-5.0-1.0","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","20552","
        <p style=""font-size:22px;"">Select <strong>all</strong> statements that are true:</p>
        
        <div>
          <input type=""checkbox"" id=""opt0"" value=""Members of your family speak Taneg"">
          <label for=""opt0"" style=""font-size:20px;"">Members of your family speak Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt1"" value=""Barely any Tany people speak Taneg now"">
          <label for=""opt1"" style=""font-size:20px;"">Barely any Tany people speak Taneg now</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt2"" value=""Less than half the Tany population speaks Taneg regularly"">
          <label for=""opt2"" style=""font-size:20px;"">Less than half the Tany population speaks Taneg regularly</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt3"" value=""Everyone in the community also speaks English"">
          <label for=""opt3"" style=""font-size:20px;"">Everyone in the community also speaks English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt4"" value=""You grew up speaking Taneg"">
          <label for=""opt4"" style=""font-size:20px;"">You grew up speaking Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt5"" value=""Taneg is quite similar to English"">
          <label for=""opt5"" style=""font-size:20px;"">Taneg is quite similar to English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt6"" value=""Drogek is at risk of dying out"">
          <label for=""opt6"" style=""font-size:20px;"">Drogek is at risk of dying out</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt7"" value=""The best way to keep minority languages alive is by recording them for future generations"">
          <label for=""opt7"" style=""font-size:20px;"">The best way to keep minority languages alive is by recording them for future generations</label>
        </div>
      
        <br>
      ","0","info_comprehension","","","false","[""Members of your family speak Taneg"",""Everyone in the community also speaks English"",""Taneg is quite similar to English"",""Drogek is at risk of dying out"",""The best way to keep minority languages alive is by recording them for future generations""]","","",""
"html-keyboard-response","11","264470","0.0-5.1-0.1-0.1","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","12705","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You belong to a community, known as the Tany, who traditionally speak the Taneg language.</p> 
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
    <p style=""font-size:22px;"">You did not grow up speaking it, but your grandparents did, and your parents spoke some, and you have decided to become a speaker!</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","","","","",""
"html-keyboard-response","12","276244","0.0-5.1-0.1-1.1","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","10764","
    <p style=""font-size:22px;"">You think this is an important moment.</p> 
    <p style=""font-size:22px;"">A related language, Drogek, is now barely spoken at all! Now almost everyone in the Drogy community speaks only English, with only a few enthusiasts keeping Drogek alive.</p> 
    <p style=""font-size:22px;"">You, like many Tany people, want to avoid this future for Taneg. Recording it for future generations is not enough; you think the only way to keep it alive is for people like you to learn and use the language.</p>
    <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","","","","",""
"html-keyboard-response","13","281931","0.0-5.1-0.1-2.1","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","4669","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","","","","",""
"html-keyboard-response","14","286724","0.0-5.1-0.1-3.1","606b3da5eb533db26ffbfa36","6a42e2df51d202e3a70b4753","6a42e64b96e57c266e7eba9c","ImmersiveDrogek","wmue6vttau","0","3","","","","","","3790","
    <p style=""font-size:22px;"">Be part of a bright future for Taneg! You don’t want its future to be like Drogek’s…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","","","","",""
